timer,CdA,speed,power,heartrate,cadence
909,,915.9085714285710,186,119,89
909,,915.9085714285710,186,119,89
1460,,915.9085714285710,246,119,94
1460,,915.9085714285710,246,119,94
2160,,919.9257142857140,230,119,97
2160,,919.9257142857140,230,119,97
2393,,919.9257142857140,179,120,93
2393,,919.9257142857140,179,120,93
3426,,916.9128571428570,184,120,93
3426,,916.9128571428570,184,120,93
3643,,916.9128571428570,193,120,92
3643,,916.9128571428570,193,120,92
4893,,912.8957142857140,213,120,94
4893,,912.8957142857140,213,120,94
5226,,912.8957142857140,199,120,91
5226,,912.8957142857140,199,120,91
6143,,917.9171428571430,208,120,93
6143,,917.9171428571430,208,120,93
7876,,924.9471428571430,191,120,94
7876,,924.9471428571430,191,120,94
8693,,923.9428571428570,148,120,89
8693,,923.9428571428570,148,120,89
8910,,923.9428571428570,182,121,98
8910,,923.9428571428570,182,121,98
10163,,908.8785714285710,183,121,92
10163,,908.8785714285710,183,121,92
10960,,907.8742857142860,220,121,93
10960,,907.8742857142860,220,121,93
12214,,913.9,223,121,92
12214,,913.9,223,121,92
12677,,916.9128571428570,229,121,94
12677,,916.9128571428570,229,121,94
13477,,916.9128571428570,219,121,92
13477,,916.9128571428570,219,121,92
14627,,921.9342857142860,257,122,93
14627,,921.9342857142860,257,122,93
15444,,921.9342857142860,255,122,95
15444,,921.9342857142860,255,122,95
16144,,927.9600000000000,235,122,95
16144,,927.9600000000000,235,122,95
16693,,930.972857142857,228,122,94
16693,,930.972857142857,228,122,94
17360,,930.972857142857,267,123,94
17360,,930.972857142857,267,123,94
17944,,935.9942857142860,344,123,96
17944,,935.9942857142860,344,123,96
18644,,946.0371428571430,308,123,96
18644,,946.0371428571430,308,123,96
19210,,946.0371428571430,324,123,99
19210,,946.0371428571430,324,123,99
19910,,948.0457142857140,255,124,95
19910,,948.0457142857140,255,124,95
20360,,948.0457142857140,191,124,93
20360,,948.0457142857140,191,124,93
21348,,944.0285714285710,244,124,99
21348,,944.0285714285710,244,124,99
22144,,934.9900000000000,228,125,95
22144,,934.9900000000000,228,125,95
23394,,932.9814285714290,249,125,94
23394,,932.9814285714290,249,125,94
24644,,931.9771428571430,227,126,94
24644,,931.9771428571430,227,126,94
25911,,933.9857142857140,233,126,86
25911,,933.9857142857140,233,126,86
26144,,933.9857142857140,263,127,85
26144,,933.9857142857140,263,127,85
27427,,941.0157142857140,259,76,84
27427,,941.0157142857140,259,76,84
27661,,941.0157142857140,271,128,87
27661,,941.0157142857140,271,128,87
28578,,949.05,280,128,87
28578,,949.05,280,128,87
28928,,949.05,268,128,86
28928,,949.05,268,128,86
29844,,959.092857142857,267,129,88
29844,,959.092857142857,267,129,88
30394,,958.0885714285710,265,129,87
30394,,958.0885714285710,265,129,87
31628,,956.0800000000000,269,129,87
31628,,956.0800000000000,269,129,87
32644,,960.0971428571430,251,129,88
32644,,960.0971428571430,251,129,88
33432,,962.1057142857140,195,130,87
33432,,962.1057142857140,195,130,87
33661,,962.1057142857140,211,130,88
